creation_date,barcode,material,material_description,brand,material_group,prodhier,MTART,material_category,size,supplier,date_received,cost,srp,gp
5/19/2020,8.851E+12,TMHD5160,(FPO) TILE 20X120 210122,Generic Floor and Wall Coverings,Floor and Wall Cover,For Reclass (Floor Tiles),HAWA,Outright,10X30,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/29/2020,60.32,60,-0.005333333
5/19/2020,8.851E+12,TMHD5161,(FPO) TILE 20X120 RF12201D,Generic Floor and Wall Coverings,Floor and Wall Cover,Floor Tiles - Glossy,HAWA,Outright,10X30,PHASED-OUT ITEMS,5/29/2020,60.32,22,-1.741818182
5/19/2020,8.851E+12,TMHD5162,TRITON EPOXY PRIMER WHT W/CAT 4L,Generic Paints,Paints,Primer,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,689.85,203,-2.398275862
5/19/2020,8.851E+12,TMHD5163,UB-2002 BICYCLE LOCK,Generic Hardware,Hardware,Stop Locks,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125,44,-1.840909091
5/19/2020,8.851E+12,TMHD5164,(FPO) URINAL B-813,Generic Bathroom,Bathroom,Urinals,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1182.23,419,-1.821551313
5/19/2020,8.851E+12,TMHD5165,WALL PAPER H1080 0.45X10M,Generic Home and Living,Home and Living,Wall Art & Decor,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,180,0.302611111
5/19/2020,8.851E+12,TMHD5166,(FPO) WALL PAPER H1083 0.45X10M,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,125.53,63,-0.992539683
5/19/2020,8.851E+12,TMHD5167,WALL PAPER H1086 0.45X10M,Generic Home and Living,Home and Living,Wall Art & Decor,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,180,0.302611111
5/19/2020,8.851E+12,TMHD5168,WALL PAPER H1090 0.45X10M,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,45,-1.789555556
5/19/2020,8.851E+12,TMHD5169,(FPO) WALL PAPER H1095 0.45X10M,Generic Home and Living,Home and Living,Kitchen Wares,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,30,-3.184333333
5/19/2020,8.851E+12,TMHD5170,WALL PAPER H1265 0.45X10M,Generic Home and Living,Home and Living,Wall Art & Decor,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,180,0.302611111
5/19/2020,8.851E+12,TMHD5171,WALL PAPER H1357 0.45X10M,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,45,-1.789555556
5/19/2020,8.851E+12,TMHD5172,WALL PAPER H1491 0.45X10M,Generic Home and Living,Home and Living,Wall Art & Decor,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,180,0.302611111
